mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MCAR,oracle,mean_Y2,0.0008599994956234902,0.02193171715138195,0.022025252221712446,0.02231302764833701,0.93,100,0.022025252221712446,0.0,0.93,0.0022025252221712444,100
MCAR,oracle,mean_Y3,0.0010000028852376842,0.020460450003265275,0.020538950642636073,0.022340090087201944,0.98,100,0.020538950642636073,0.0,0.98,0.0020538950642636075,100
MCAR,oracle,p_class2,-0.0016492483155892746,0.03540732264177474,0.03554707330935796,0.03717525502848983,0.97,100,0.03554707330935796,0.0,0.97,0.003554707330935796,100
MCAR,selection_misspecified,M1_class1,-0.0031782499753028742,0.034852989782475016,0.03488262604607773,0.03727267646344082,0.9484536082474226,97,0.03400630140829867,0.03,0.92,0.0034882626046077734,100
MCAR,selection_misspecified,M1_class2,0.0035809464832412406,0.044808716442823145,0.044890415295376865,0.04780099592786266,0.979381443298969,97,0.0407850997663894,0.03,0.95,0.004489041529537686,100
MCAR,selection_misspecified,M2_class1,-0.000141108326369766,0.05300954945457759,0.05327641301414799,0.05191861585492103,0.9278350515463918,97,0.05314437628216312,0.03,0.9,0.005327641301414799,100
MCAR,selection_misspecified,M2_class2,-0.008912404237921522,0.056581339030720205,0.05615650008887214,0.05812141359227302,0.9587628865979382,97,0.05516169434326145,0.03,0.93,0.005615650008887214,100
MCAR,selection_misspecified,M3_class1,0.0014215935369032678,0.0463768145105139,0.0465885492928311,0.046361834484732786,0.9484536082474226,97,0.046861014666811286,0.03,0.92,0.00465885492928311,100
MCAR,selection_misspecified,M3_class2,-0.009449598899890436,0.055026147354956235,0.054481782455754024,0.04902495823812355,0.9278350515463918,97,0.0541929921579929,0.03,0.9,0.005448178245575403,100
MCAR,selection_misspecified,P000,-0.00022992422927849254,0.028442753322393512,0.02858510863657802,0.027142999338927228,0.9587628865979382,97,0.02877515394116877,0.03,0.93,0.0028585108636578023,100
MCAR,selection_misspecified,P001,0.001235340926803405,0.017338567987007555,0.017381630633209914,0.017130356673561324,0.9484536082474226,97,0.01747905395243392,0.03,0.92,0.0017381630633209913,100
MCAR,selection_misspecified,P010,0.000799003906245438,0.0217112264574636,0.021805822293692875,0.020599580373620856,0.9381443298969072,97,0.02188251205016668,0.03,0.91,0.0021805822293692874,100
MCAR,selection_misspecified,P011,-0.0015844269531020711,0.014727683090837919,0.014715972235733033,0.01463248585217685,0.9175257731958762,97,0.014125638591563155,0.03,0.89,0.0014715972235733034,100
MCAR,selection_misspecified,P100,0.0007136575180408397,0.01182365089204382,0.0118615503681106,0.01261931459829409,0.979381443298969,97,0.011942703014340014,0.03,0.95,0.00118615503681106,100
MCAR,selection_misspecified,P101,0.0021016847671473317,0.018172181085084525,0.018141171616097226,0.01866219852147822,0.9381443298969072,97,0.018073927441076564,0.03,0.91,0.0018141171616097226,100
MCAR,selection_misspecified,P110,0.002250019982508694,0.014799121248434962,0.014700766138359534,0.013435780302240326,0.9278350515463918,97,0.014848621577281874,0.03,0.9,0.0014700766138359535,100
